drug_code,drug_name,insurance_status,insurance_status_normalized,hospital_status,hospital_status_normalized,document_office_status,document_office_status_normalized,file_required_status,file_required_normalized,max_prescription,hard_to_treat_status,hard_to_treat_normalized,barcode_required_status,barcode_required_normalized,electronic_prescription_only_status,electronic_prescription_only_normalized,price_without_subsidy,organization_share_percent_without_subsidy,government_subsidy,accepted_total_price,related_specialties_button,unrelated_specialties_button,source_page
01211,THEOPHYLLINE / GUAIFENESIN 50 mg/30 mg/5mL 120 mL SOLUTION ORAL SYRUP,است,covered,نيست,False,خير,False,خير,False,3,نيست,False,خير,False,نيست,False,694800,70.0,155200,850000,True,True,1
01277,VASOPRESSIN 20 [iU]/1mL 1 mL INJECTION PARENTERAL INJECTION,است,covered,است,True,خير,False,خير,False,10,نيست,False,بله,True,نيست,False,362120,70.0,47880,410000,True,True,1
01279,VERAPAMIL HYDROCHLORIDE 40 mg TABLET ORAL 40MG TABLET,است,covered,نيست,False,خير,False,خير,False,300,نيست,False,خير,False,نيست,False,19437,70.0,1563,21000,True,True,1
01280,VERAPAMIL HYDROCHLORIDE 2.5 mg/1mL 2 mL INJECTION PARENTERAL 5MG/2ML INJECTION,است,covered,نيست,False,خير,False,خير,False,10,نيست,False,خير,False,نيست,False,1641500,70.0,248500,1890000,True,True,1
66663,VIBRIL ROLL,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,10500,70.0,0,10500,True,True,1
01282,VIGABATRIN 500 mg TABLET ORAL 500MG TABLET,صرفا مشمول يارانه دولت,government_subsidy_only,نيست,False,خير,False,خير,False,100,نيست,False,بله,True,نيست,False,151470,0.0,178530,330000,True,True,1
01283,"VINBLASTINE SULFATE 10 mg INJECTION, POWDER, FOR SOLUTION PARENTERAL 10MG INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,1017670,90.0,2372330,3390000,True,True,1
01284,"VINCRISTINE SULFATE 1 mg INJECTION, POWDER, FOR SOLUTION PARENTERAL 1MG INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,270000,90.0,0,270000,True,True,1
02194,VINCRISTINE SULFATE 1 mg/1mL 1 mL INJECTION PARENTERAL 1MG/ML INJECTION,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,1396585,70.0,1503415,2900000,True,True,1
01372,"VITAMIN A 25000 [iU] CAPSULE, LIQUID FILLED ORAL CAPSULE",است,covered,نيست,False,خير,False,خير,False,60,نيست,False,خير,False,نيست,False,17821,70.0,13179,31000,True,True,1
